Startup-Time:    0.000000
timestamp, pos_x, pos_y, pos_z, vel_x, vel_y, vel_z, acc_x, acc_y, acc_z, choosen_dir, neighbour_dir, alignment_force_x, alignment_force_y, alignment_force_z, 0_mask, 1_mask, 2_mask, 3_mask, 4_mask, 5_mask, 6_mask, 7_mask, 0_score, 1_score, 2_score, 3_score, 4_score, 5_score, 6_score, 7_score, 0_align, 1_align, 2_align, 3_align, 4_align, 5_align, 6_align, 7_align, 0_self_align, 1_self_align, 2_self_align, 3_self_align, 4_self_align, 5_self_align, 6_self_align, 7_self_align, 0_max_interest_force_x, 0_max_interest_force_y, 0_max_interest_force_z, 1_max_interest_force_x, 1_max_interest_force_y, 1_max_interest_force_z, 2_max_interest_force_x, 2_max_interest_force_y, 2_max_interest_force_z, 3_max_interest_force_x, 3_max_interest_force_y, 3_max_interest_force_z, 4_max_interest_force_x, 4_max_interest_force_y, 4_max_interest_force_z, 5_max_interest_force_x, 5_max_interest_force_y, 5_max_interest_force_z, 6_max_interest_force_x, 6_max_interest_force_y, 6_max_interest_force_z, 7_max_interest_force_x, 7_max_interest_force_y, 7_max_interest_force_z, 0_max_member_att_force_x, 0_max_member_att_force_y, 0_max_member_att_force_z, 1_max_member_att_force_x, 1_max_member_att_force_y, 1_max_member_att_force_z, 2_max_member_att_force_x, 2_max_member_att_force_y, 2_max_member_att_force_z, 3_max_member_att_force_x, 3_max_member_att_force_y, 3_max_member_att_force_z, 4_max_member_att_force_x, 4_max_member_att_force_y, 4_max_member_att_force_z, 5_max_member_att_force_x, 5_max_member_att_force_y, 5_max_member_att_force_z, 6_max_member_att_force_x, 6_max_member_att_force_y, 6_max_member_att_force_z, 7_max_member_att_force_x, 7_max_member_att_force_y, 7_max_member_att_force_z, 0_max_member_rep_force_x, 0_max_member_rep_force_y, 0_max_member_rep_force_z, 1_max_member_rep_force_x, 1_max_member_rep_force_y, 1_max_member_rep_force_z, 2_max_member_rep_force_x, 2_max_member_rep_force_y, 2_max_member_rep_force_z, 3_max_member_rep_force_x, 3_max_member_rep_force_y, 3_max_member_rep_force_z, 4_max_member_rep_force_x, 4_max_member_rep_force_y, 4_max_member_rep_force_z, 5_max_member_rep_force_x, 5_max_member_rep_force_y, 5_max_member_rep_force_z, 6_max_member_rep_force_x, 6_max_member_rep_force_y, 6_max_member_rep_force_z, 7_max_member_rep_force_x, 7_max_member_rep_force_y, 7_max_member_rep_force_z, 0_max_danger_force_x, 0_max_danger_force_y, 0_max_danger_force_z, 1_max_danger_force_x, 1_max_danger_force_y, 1_max_danger_force_z, 2_max_danger_force_x, 2_max_danger_force_y, 2_max_danger_force_z, 3_max_danger_force_x, 3_max_danger_force_y, 3_max_danger_force_z, 4_max_danger_force_x, 4_max_danger_force_y, 4_max_danger_force_z, 5_max_danger_force_x, 5_max_danger_force_y, 5_max_danger_force_z, 6_max_danger_force_x, 6_max_danger_force_y, 6_max_danger_force_z, 7_max_danger_force_x, 7_max_danger_force_y, 7_max_danger_force_z
   0.003908,    -0.0000,     0.0000,    -0.0000,     0.0000,    -0.0000,    -0.0322,     4.7396,    -1.5925,     0.0000,   0,   7,   0.0000,   0.0000,   0.0000, 1, 1, 1, 1, 1, 1, 1, 1,   0.0000,   0.0000,  -0.0000,  -0.0000,  -0.0000,  -0.0000,   0.0000,   0.0000,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,   0.0000,   0.0000,  -0.0000,  -0.0000,  -0.0000,  -0.0000,   0.0000,   0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
   0.066436,     0.0000,     0.0000,    -0.0020,     0.0000,    -0.0000,    -0.0273,     4.7192,    -1.6520,     0.0000,   0,   7,   0.0000,   0.0000,   0.0000, 1, 1, 1, 1, 1, 1, 1, 1,   0.0000,   0.0000,  -0.0000,  -0.0000,  -0.0000,  -0.0000,   0.0000,   0.0000,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,   0.0000,   0.0000,  -0.0000,  -0.0000,  -0.0000,  -0.0000,   0.0000,   0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
   0.128964,    -0.0000,     0.0000,    -0.0035,     0.0000,     0.0000,    -0.0199,     4.6551,     1.8250,     0.0000,   0,   1,   0.0000,   0.0000,   0.0000, 1, 1, 1, 1, 1, 1, 1, 1,   0.0000,   0.0000,   0.0000,  -0.0000,  -0.0000,  -0.0000,  -0.0000,   0.0000,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,   0.0000,   0.0000,   0.0000,  -0.0000,  -0.0000,  -0.0000,  -0.0000,   0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
   0.191492,    -0.0000,     0.0000,    -0.0046,     0.0000,     0.0000,    -0.0146,     1.8590,     4.6416,     0.0000,   2,   1,   0.0000,   0.0000,   0.0000, 1, 1, 1, 1, 1, 1, 1, 1,   0.0000,   0.0000,   0.0000,   0.0000,  -0.0000,  -0.0000,  -0.0000,  -0.0000,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,   0.0000,   0.0000,   0.0000,   0.0000,  -0.0000,  -0.0000,  -0.0000,  -0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
   0.254020,    -0.0000,     0.0000,    -0.0054,    -0.0000,     0.0000,    -0.0106,    -2.1402,     4.5188,     0.0000,   3,   2,   0.0000,   0.0000,   0.0000, 1, 1, 1, 1, 1, 1, 1, 1,  -0.0000,   0.0000,   0.0000,   0.0000,   0.0000,  -0.0000,  -0.0000,  -0.0000,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,  -0.0000,   0.0000,   0.0000,   0.0000,   0.0000,  -0.0000,  -0.0000,  -0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
   0.316548,    -0.0000,     0.0000,    -0.0059,    -0.0000,     0.0000,    -0.0078,       -nan,       -nan,       -nan,   0,   7,   0.0000,   0.0000,   0.0000, 1, 1, 1, 1, 1, 1, 1, 1,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,  -0.0000,   0.0000,   0.0000,   0.0000,   0.0000,  -0.0000,  -0.0000,  -0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
   0.379076,    -0.0000,    -0.0000,    -0.0063,    -0.0000,     0.0000,    -0.0057,       -nan,       -nan,       -nan,   0,   7,   0.0000,   0.0000,   0.0000, 1, 1, 1, 1, 1, 1, 1, 1,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,  -0.0000,  -0.0000,   0.0000,   0.0000,   0.0000,   0.0000,  -0.0000,  -0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
   0.441604,    -0.0000,    -0.0000,    -0.0066,    -0.0000,     0.0000,    -0.0041,       -nan,       -nan,       -nan,   0,   7,   0.0000,   0.0000,   0.0000, 1, 1, 1, 1, 1, 1, 1, 1,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,  -0.0000,  -0.0000,   0.0000,   0.0000,   0.0000,   0.0000,  -0.0000,  -0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
   0.504132,    -0.0000,    -0.0000,    -0.0069,    -0.0000,     0.0000,    -0.0030,       -nan,       -nan,       -nan,   0,   7,   0.0000,   0.0000,   0.0000, 1, 1, 1, 1, 1, 1, 1, 1,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,  -0.0000,  -0.0000,   0.0000,   0.0000,   0.0000,   0.0000,  -0.0000,  -0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
   0.566660,    -0.0000,    -0.0000,    -0.0070,     0.0000,     0.0000,    -0.0022,       -nan,       -nan,       -nan,   0,   7,   0.0000,   0.0000,   0.0000, 1, 1, 1, 1, 1, 1, 1, 1,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,     -nan,   0.0000,   0.0000,   0.0000,   0.0000,  -0.0000,  -0.0000,  -0.0000,  -0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
